linha;patrimonio;nome;motivo
2;37;IMPRESSORA;Campos obrigatórios vazios: Responsável
3;40;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Responsável
4;49;MAQ.ESCREVER;Campos obrigatórios vazios: Marca
5;54;MONITOR;Campos obrigatórios vazios: Responsável
6;64;IMPRESSORA;Campos obrigatórios vazios: Responsável
7;82;IMPRESSORA;Campos obrigatórios vazios: Responsável
8;86;IMPRESSORA;Campos obrigatórios vazios: Responsável
9;106;MONITOR;Campos obrigatórios vazios: Responsável
10;131;MONITOR;Campos obrigatórios vazios: Responsável
11;144;MONITOR;Campos obrigatórios vazios: Responsável
12;160;MONITOR;Campos obrigatórios vazios: Responsável
13;194;MONITOR;Campos obrigatórios vazios: Responsável
14;196;IMPRESSORA;Campos obrigatórios vazios: Responsável
15;199;PC;Campos obrigatórios vazios: Marca, Responsável
16;206;PC;Campos obrigatórios vazios: Marca, Responsável
17;207;SWITCH;Campos obrigatórios vazios: Marca, Responsável
18;209;NOBREAK;Campos obrigatórios vazios: Marca, Responsável
19;279;PC;Campos obrigatórios vazios: Responsável
20;872;TELA DE PROJEÇÃO;Campos obrigatórios vazios: Marca, Responsável
21;1022;TELA DE PROJEÇÃO;Campos obrigatórios vazios: Marca, Responsável
22;1030;TELA DE PROJEÇÃO;Campos obrigatórios vazios: Marca, Responsável
23;1142;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Responsável
24;1146;PC;Campos obrigatórios vazios: Responsável
25;1151;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Responsável
26;1162;MONITOR;Campos obrigatórios vazios: Responsável
27;1163;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Responsável
28;1181;SCANNER;Campos obrigatórios vazios: Responsável
29;1183;PC;Campos obrigatórios vazios: Responsável
30;1185;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Responsável
31;1192;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Responsável
32;1199;SWITCH;Campos obrigatórios vazios: Marca, Responsável
33;1300;ESTABILIZADOR;Campos obrigatórios vazios: Responsável
34;1507;MONITOR;Campos obrigatórios vazios: Responsável
35;1508;PC;Campos obrigatórios vazios: Marca, Responsável
36;1613;PC;Campos obrigatórios vazios: Responsável
37;1623;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Responsável
38;1650;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Responsável
39;1661;SCANNER;Campos obrigatórios vazios: Responsável
40;1663;PC;Campos obrigatórios vazios: Marca, Responsável
41;1668;PC;Campos obrigatórios vazios: Responsável
42;2112;NOTEBOOK;Campos obrigatórios vazios: Responsável
43;2196;MONITOR;Campos obrigatórios vazios: Marca, Responsável
44;2198;MONITOR;Campos obrigatórios vazios: Responsável
45;2199;MONITOR;Campos obrigatórios vazios: Responsável
46;2207;PROJETOR;Campos obrigatórios vazios: Responsável
47;2213;IMPRESSORA;Campos obrigatórios vazios: Marca, Responsável
48;2228;MONITOR;Campos obrigatórios vazios: Responsável
49;2230;MONITOR;Campos obrigatórios vazios: Responsável
50;2232;ESTABILIZADOR;Campos obrigatórios vazios: Responsável
51;2239;MONITOR;Campos obrigatórios vazios: Marca, Responsável
52;2241;ESTABILIZADOR;Campos obrigatórios vazios: Marca, Responsável
53;2244;IMPRESSORA C.FISCAL;Campos obrigatórios vazios: Marca, Responsável
54;2272;MONITOR;Campos obrigatórios vazios: Responsável
55;2273;MONITOR;Campos obrigatórios vazios: Responsável
56;2274;MONITOR;Campos obrigatórios vazios: Responsável
57;2275;MONITOR;Campos obrigatórios vazios: Responsável
58;2276;TV;Campos obrigatórios vazios: Responsável
59;2282;MONITOR;Campos obrigatórios vazios: Responsável
60;2284;PC;Campos obrigatórios vazios: Responsável
61;2286;MONITOR;Campos obrigatórios vazios: Responsável
62;2287;MONITOR;Campos obrigatórios vazios: Responsável
63;2288;MONITOR;Campos obrigatórios vazios: Responsável
64;2289;MONITOR;Campos obrigatórios vazios: Responsável
65;2290;MONITOR;Campos obrigatórios vazios: Responsável
66;2291;MONITOR;Campos obrigatórios vazios: Responsável
67;2292;MONITOR;Campos obrigatórios vazios: Responsável
68;2293;MONITOR;Campos obrigatórios vazios: Responsável
69;2294;MONITOR;Campos obrigatórios vazios: Responsável
70;2295;MONITOR;Campos obrigatórios vazios: Responsável
71;2296;MONITOR;Campos obrigatórios vazios: Responsável
72;2297;MONITOR;Campos obrigatórios vazios: Responsável
73;2298;MONITOR;Campos obrigatórios vazios: Responsável
74;2300;MONITOR;Campos obrigatórios vazios: Responsável
75;2301;PC;Campos obrigatórios vazios: Marca, Responsável
76;2302;SWITCH;Campos obrigatórios vazios: Marca, Responsável
77;2305;PC;Campos obrigatórios vazios: Responsável
78;2306;PC;Campos obrigatórios vazios: Responsável
79;2308;PC;Campos obrigatórios vazios: Responsável
80;2310;PC;Campos obrigatórios vazios: Responsável
81;2311;PC;Campos obrigatórios vazios: Responsável
82;2313;PC;Campos obrigatórios vazios: Responsável
83;2314;PC;Campos obrigatórios vazios: Responsável
84;2315;MONITOR;Campos obrigatórios vazios: Responsável
85;2316;MONITOR;Campos obrigatórios vazios: Responsável
86;2317;MONITOR;Campos obrigatórios vazios: Responsável
87;2318;MONITOR;Campos obrigatórios vazios: Responsável
88;2319;MONITOR;Campos obrigatórios vazios: Responsável
89;2320;MONITOR;Campos obrigatórios vazios: Responsável
90;2321;MONITOR;Campos obrigatórios vazios: Responsável
91;2322;MONITOR;Campos obrigatórios vazios: Responsável
92;2324;MONITOR;Campos obrigatórios vazios: Responsável
93;2325;PC;Campos obrigatórios vazios: Marca, Responsável
94;2400;PC;Campos obrigatórios vazios: Marca, Responsável
95;2405;PC;Campos obrigatórios vazios: Responsável
96;2415;PC;Campos obrigatórios vazios: Responsável
98;2421;MONITOR;Campos obrigatórios vazios: Responsável
99;2424;PC;Campos obrigatórios vazios: Responsável
100;2425;PC;Campos obrigatórios vazios: Responsável
101;2426;PC;Campos obrigatórios vazios: Marca, Responsável
102;2429;PC;Campos obrigatórios vazios: Responsável
103;2430;PC;Campos obrigatórios vazios: Responsável
104;2434;PC;Campos obrigatórios vazios: Responsável
105;2436;PC;Campos obrigatórios vazios: Responsável
106;2437;PC;Campos obrigatórios vazios: Responsável
107;2439;PC;Campos obrigatórios vazios: Responsável
108;2440;PC;Campos obrigatórios vazios: Responsável
109;2441;PC;Campos obrigatórios vazios: Responsável
110;2483;MONITOR;Campos obrigatórios vazios: Responsável
111;2484;MONITOR;Campos obrigatórios vazios: Responsável
112;2485;MONITOR;Campos obrigatórios vazios: Responsável
113;2486;PC;Campos obrigatórios vazios: Responsável
114;2498;PC;Campos obrigatórios vazios: Responsável
115;2500;TELA DE PROJEÇÃO;Campos obrigatórios vazios: Responsável
116;2562;MONITOR;Campos obrigatórios vazios: Responsável
117;2566;MONITOR;Campos obrigatórios vazios: Marca, Responsável
118;2567;MONITOR;Campos obrigatórios vazios: Responsável
119;2570;MAQ.CHEQUE;Campos obrigatórios vazios: Marca, Responsável
121;2582;NOTEBOOK;Campos obrigatórios vazios: Responsável
122;2583;NOTEBOOK;Campos obrigatórios vazios: Responsável
123;2585;PC;Campos obrigatórios vazios: Responsável
124;2589;MONITOR;Campos obrigatórios vazios: Marca, Responsável
125;2590;MONITOR;Campos obrigatórios vazios: Marca, Responsável
126;2591;MONITOR;Campos obrigatórios vazios: Marca, Responsável
127;2592;MONITOR;Campos obrigatórios vazios: Marca, Responsável
128;2593;MONITOR;Campos obrigatórios vazios: Marca, Responsável
129;2594;MONITOR;Campos obrigatórios vazios: Marca
130;2595;PC;Campos obrigatórios vazios: Responsável
131;2596;PC;Campos obrigatórios vazios: Marca, Responsável
132;2597;PC;Campos obrigatórios vazios: Responsável
133;2598;PC;Campos obrigatórios vazios: Responsável
134;2599;PC;Campos obrigatórios vazios: Responsável
135;2600;PC;Campos obrigatórios vazios: Responsável
139;2606;PROJETOR;Campos obrigatórios vazios: Responsável
140;2607;TELA DE PROJEÇÃO;Campos obrigatórios vazios: Marca
141;2608;NETBOOK;Campos obrigatórios vazios: Responsável
142;2614;MONITOR;Campos obrigatórios vazios: Responsável
143;2615;MONITOR;Campos obrigatórios vazios: Responsável
144;2616;MONITOR;Campos obrigatórios vazios: Responsável
145;2617;MONITOR;Campos obrigatórios vazios: Responsável
146;2618;MONITOR;Campos obrigatórios vazios: Responsável
147;2619;MONITOR;Campos obrigatórios vazios: Responsável
